id,mobile,province,city,content,create_time
1,1300000,1,1,中国联通GSM,"2014-05-21 12:39:43"
2,1300001,10,83,中国联通GSM,"2014-05-21 12:39:43"
3,1300002,12,117,中国联通GSM,"2014-05-21 12:39:43"
4,1300006,10,87,中国联通GSM,"2014-05-21 12:39:43"
5,1300008,17,182,中国联通GSM,"2014-05-21 12:39:43"
6,1300010,1,1,中国联通GSM,"2014-05-21 12:39:43"
7,1300011,1,1,中国联通GSM,"2014-05-21 12:39:43"
8,1300012,2,2,中国联通GSM,"2014-05-21 12:39:43"
9,1300013,2,2,中国联通GSM,"2014-05-21 12:39:43"
10,1300014,2,2,中国联通GSM,"2014-05-21 12:39:43"
11,1300015,15,148,中国联通GSM,"2014-05-21 12:39:43"
12,1300016,15,153,中国联通GSM,"2014-05-21 12:39:43"
13,1300017,15,161,中国联通GSM,"2014-05-21 12:39:43"
14,1300018,2,2,中国联通GSM,"2014-05-21 12:39:43"
15,1300019,2,2,中国联通GSM,"2014-05-21 12:39:43"
16,1300020,9,82,中国联通GSM,"2014-05-21 12:39:43"
17,1300021,9,82,中国联通GSM,"2014-05-21 12:39:43"
18,1300022,9,82,中国联通GSM,"2014-05-21 12:39:43"
19,1300023,9,82,中国联通GSM,"2014-05-21 12:39:43"
20,1300024,9,82,中国联通GSM,"2014-05-21 12:39:43"
21,1300025,10,87,中国联通GSM,"2014-05-21 12:39:43"
22,1300026,10,87,中国联通GSM,"2014-05-21 12:39:43"
23,1300027,15,153,中国联通GSM,"2014-05-21 12:39:43"
24,1300028,10,87,中国联通GSM,"2014-05-21 12:39:43"
25,1300029,10,87,中国联通GSM,"2014-05-21 12:39:43"
26,1300030,10,87,中国联通GSM,"2014-05-21 12:39:43"
27,1300031,10,87,中国联通GSM,"2014-05-21 12:39:43"
28,1300032,10,87,中国联通GSM,"2014-05-21 12:39:43"
29,1300033,10,86,中国联通GSM,"2014-05-21 12:39:43"
30,1300034,10,86,中国联通GSM,"2014-05-21 12:39:43"
31,1300035,10,86,中国联通GSM,"2014-05-21 12:39:43"
32,1300036,10,86,中国联通GSM,"2014-05-21 12:39:43"
33,1300037,10,86,中国联通GSM,"2014-05-21 12:39:43"
34,1300038,10,86,中国联通GSM,"2014-05-21 12:39:43"
35,1300039,10,86,中国联通GSM,"2014-05-21 12:39:43"
36,1300040,19,220,中国联通GSM,"2014-05-21 12:39:43"
37,1300041,19,220,中国联通GSM,"2014-05-21 12:39:43"
38,1300042,19,220,中国联通GSM,"2014-05-21 12:39:43"
39,1300043,19,220,中国联通GSM,"2014-05-21 12:39:43"
40,1300044,19,220,中国联通GSM,"2014-05-21 12:39:43"
41,1300045,1,1,中国联通GSM,"2014-05-21 12:39:43"
42,1300046,1,1,中国联通GSM,"2014-05-21 12:39:43"
43,1300047,1,1,中国联通GSM,"2014-05-21 12:39:43"
44,1300048,1,1,中国联通GSM,"2014-05-21 12:39:43"
45,1300049,1,1,中国联通GSM,"2014-05-21 12:39:43"
46,1300050,19,220,中国联通GSM,"2014-05-21 12:39:43"
47,1300051,19,220,中国联通GSM,"2014-05-21 12:39:43"
48,1300052,19,220,中国联通GSM,"2014-05-21 12:39:43"
49,1300053,19,220,中国联通GSM,"2014-05-21 12:39:43"
50,1300054,19,220,中国联通GSM,"2014-05-21 12:39:43"
51,1300055,19,220,中国联通GSM,"2014-05-21 12:39:43"
